0,0
0,-1
0,-2
0,1
-1,-2
0,-3
-1,-1
-1,0
-1,-3
1,-1
1,0
1,1
2,0
0,-4
-2,-1
1,-2
-1,1
-3,-1
1,-3
-2,-2
-2,-3
2,-1
-2,1
-3,-2
-3,1
2,-2
-4,1
-2,0
1,2
3,-1
-3,0
1,-4
-1,2
4,-1
-1,-4
-2,-4
2,-3
3,-3
-2,-5
0,-5
0,2
2,2
-3,-3
-5,1
-1,-5
-1,-6
-2,-6
-3,-4
-3,-5
2,1
2,-4
-4,-2
3,-2
2,3
3,2
1,-5
-3,2
-4,-5
1,3
-6,1
4,-2
-7,1
0,3
1,-6
-4,0
2,-5
5,-2
-4,-6
-4,-4
-4,-1
6,-2
4,0
-3,-6
3,0
-3,3
1,4
-5,-5
-4,2
3,-5
-6,0
-4,-3
-5,2
-2,2
-5,-1
-5,-2
0,-6
2,4
5,-1
3,3
2,-6
0,4
5,-3
-5,-3
-2,3
-5,-4
2,5
4,-3
5,0
4,-4
3,4
-5,-6
6,0
-6,-3
-5,0
-6,-1
-1,-7
4,2
-6,-5
1,-7
6,-1
-1,3
0,5
-6,-6
-6,-4
0,6
7,-1
-5,3
-1,5
3,-4
4,3
-1,4
6,-3
4,4
0,7
1,5
-5,-7
3,5
-4,3
1,6
0,8
-4,-7
-5,-8
-6,3
5,3
-6,-8
-7,-5
-7,2
-6,2
4,-5
-5,4
-3,4
-7,3
0,-7
3,1
-6,-7
2,-7
5,2
-4,4
-8,2
7,-2
6,3
1,8
7,0
-7,-1
4,1
-7,-7
-5,-9
-3,-7
0,-8
5,-4
-1,6
-7,0
-2,-7
7,-3
7,1
5,1
-1,-8
-6,4
-7,-4
-8,-1
3,-6
6,2
1,-8
-6,-2
-4,-8
8,1
7,2
-8,3
-2,4
-1,7
-5,5
0,9
2,-8
-1,8
8,-3
6,1
-7,-3
5,4
-7,-2
3,-7
0,-9
-2,-8
2,8
-7,4
5,-5
1,7
-7,5
2,6
-1,-9
8,0
4,-6
-2,7
8,-1
-8,-4
-8,-3
8,-2
-6,-9
-7,-8
7,-4
-8,-5
-6,5
-8,0
4,-7
7,3
-3,-8
2,7
-6,-10
-4,-9
-7,-6
-4,5
-9,-3
-8,4
-5,6
6,4
-7,6
-8,1
-8,5
-1,-10
-8,-8
-9,-4
1,-9
-3,-9
-4,6
3,-8
3,6
-7,-9
-8,-7
5,-6
6,-4
-2,-9
-3,-10
-2,5
-8,-2
-7,-10
-8,-9
-9,-1
-2,-10
8,3
4,6
-1,9
-4,-10
-9,3
-8,-6
4,-8
6,-5
1,9
-6,6
-8,6
8,2
-9,2
3,-9
5,6
-2,8
3,7
-9,1
7,4
-5,7
4,5
9,0
-7,7
-9,6
-6,7
-3,5
5,5
-4,7
6,-6
0,-10
8,4
-8,7
-1,-11
-9,5
-2,6
5,-7
-9,4
4,7
-6,8
-2,9
5,-8
-3,6
-10,6
-10,4
4,-9
2,-9
4,8
4,-10
-5,8
-3,9
6,-7
-5,-10
5,7
-10,5
-10,-1
7,5
8,-4
-2,-11
1,-10
-9,-5
-9,-8
9,1
2,-10
0,-11
-9,-9
5,-9
6,5
-8,-10
-9,-2
-4,8
-1,10
-11,4
-6,-11
-8,8
0,-12
6,6
9,2
-1,-12
-1,11
-10,-2
-10,1
-3,7
6,-8
-10,3
9,-1
7,-6
-9,-6
-5,-11
3,8
9,-2
-11,-2
-7,8
-1,-13
3,-10
6,-9
-4,-11
10,-1
2,9
-7,-11
-11,5
-9,0
-10,7
-10,-3
-11,7
-10,-4
6,7
-11,-3
9,-4
9,3
-3,-11
-4,9
-9,7
-2,-12
-1,12
-5,9
7,-7
-2,10
-6,-12
6,-10
7,6
1,-11
-11,-1
-9,-7
3,-11
10,-4
-3,8
-9,-10
-9,8
9,-3
-7,9
-5,10
-11,6
-10,0
8,5
3,-12
-4,-12
0,10
10,0
3,9
1,10
7,-5
-11,-4
4,-12
7,-8
-2,11
-12,-4
10,2
-9,9
10,-2
-3,10
10,-3
7,-9
-6,9
-12,-2
-12,7
8,6
-12,6
-10,9
-11,1
0,11
11,-1
-12,5
-12,-3
-10,-10
-13,6
2,10
10,1
5,-12
-13,-4
6,8
-12,-5
-10,-8
-4,10
-10,-11
-10,2
-14,6
-11,0
-11,2
-11,-11
-9,-11
4,9
-5,-12
-4,-13
11,0
9,6
9,5
-11,-10
