E14 log 2,SPB74 log 2,virido log 2,J1074 log 2,AA4 log 2
0.136542418,-0.162837777,-0.271387085,0.057773343,-0.820796424
0.364031226,2.504566125,4.522579465,3.292393344,2.931739391
-0.059173054,0.525710281,0.701750347,0.052388458,0.320788942
-0.112529939,0.849797718,1.656456734,0.898984851,1.013737408
-0.022171849,-0.38116802,-0.526121873,-0.460518684,-0.650653186
-0.518690089,0.180301054,-0.291996927,-0.934150979,0.700147778
-0.337517302,0.163439318,-0.063288763,-0.563393636,-3.280639769
0.493048656,0.525974759,1.346592659,1.266277205,0.156652593
0.104234399,0.572350783,-0.848238755,-1.119772056,-0.64066019
0.295224467,1.003053657,1.819980818,1.302704282,0.194766512
,,,,
-1.407121175,0.313047163,-0.0274252,-0.483456872,-1.074345282
0.073979056,0.512317356,0.854964752,1.157197769,0.37154369
0.087537125,0.233984044,-0.124625981,0.444558255,-0.612143486
0.888559932,-0.670629974,2.757950832,1.925262403,2.736673378
1.186198492,1.279836727,3.488992415,4.421305402,5.261926559
0.471912398,0.694874226,4.105107698,3.722631453,2.918414802
-0.805492474,5.265593491,5.338245566,6.62162037,5.199638935
-0.451404564,7.662105674,6.379179601,7.558099284,5.518278012
0.506459022,2.329370026,3.177204924,4.421305402,3.040610758
0.257835576,1.11368631,1.249663847,1.026945795,-0.262283785
,,,,
-0.493535108,0.274378474,1.0307599,0.636762721,0.990273463
0.117098881,-0.561421955,0.956869718,1.782488785,1.80249494
-0.419821909,0.193154489,-0.23474063,-0.324376084,-0.635651286
-0.910549294,-1.339118754,1.661829541,0.891234341,1.821211851
0.030030422,0.460917034,2.455710457,2.205370322,2.894668074
-1.415527034,-3.207703543,0.904029914,0.854873075,-0.959389242
-2.03341893,-0.942555694,1.447439227,1.326776957,1.797191356
-0.208716859,0.904160858,0.541008344,0.754462886,1.480164983
-2.160947752,-1.491121847,0.006494575,0.629399817,1.040610758
-0.34835565,-0.880017601,-0.179839098,0.18396859,0.735959194
0.323428084,-0.160735864,0.140158959,0.314303752,0.221888606
-1.027884895,-0.391586174,1.258740174,0.355862731,1.433654036
-0.237196173,-0.473971359,0.51960653,0.100748286,-0.696083847
-0.398764008,0.830806248,1.451423698,2.587545164,1.263003179
0.321427586,0.650574606,-1.072036604,-0.230741305,0.321631796
,,,,
-1.637919456,-1.011361969,1.563774678,0.767232524,1.056265497
-0.015690947,0.617316062,0.03744923,0.316353583,-0.09302074
0.177841326,0.768550686,2.675804235,2.313754782,0.777576352
0.631164454,1.087191649,2.126163536,2.673451507,1.212229372
0.770560957,0.295092914,0.686515801,0.765172113,-0.495260297
0.120545182,1.427319128,2.824941335,2.545481246,1.188504231
-0.009856635,1.512794541,2.18686944,1.885839176,0.688472414
0.290184961,1.718003246,2.037402166,1.77636953,0.642189503
0.075314566,1.371641696,2.29037413,1.96215768,0.581162181
0.429244893,2.029078859,2.905619587,2.761488823,1.452136195
-0.032336196,0.61967147,2.256953173,2.167962744,0.828107934
0.120192578,0.427943241,1.540075513,1.37927113,0.430657183
-0.021607642,0.742084023,2.108778662,1.784995299,0.402002822
-0.070712522,1.048191258,1.967711692,1.783766639,0.349358095
0.334903926,1.369549689,1.727658196,1.556527155,1.128257593
0.344183385,0.988625307,0.368408161,0.176268806,0.936604299
0.042755688,0.292232433,0.683901279,0.740736162,0.356773463
0.879489619,-0.099116515,0.546833978,0.388334382,0.716208159
0.015863562,-0.552123734,0.430518366,0.748459625,-0.145403551
-0.059029538,-0.018943658,0.460757637,0.790709546,-0.319961145
-0.008865177,-0.22224371,0.242645922,0.171595798,-0.039528037
-0.013661218,0.099289148,-0.137248223,-0.060863008,0.19375334
-0.830564534,-1.101990336,1.108513011,1.38665628,0.625573258
0.212969209,-1.121406299,-0.451295245,-0.556886839,1.521793667
-0.365784694,-0.686952837,0.997439993,0.916250496,0.513972997
-0.407121175,-0.686952837,0.263984809,0.178010236,-0.544351743
-0.255953986,0.052330481,-0.143137829,0.042103982,0.980533069
0.19015455,2.889840625,1.489293265,0.552505655,-0.455907669
0.766988461,1.567820914,1.162338563,1.014122823,1.063666544
-0.342920532,-1.183323826,-2.745050678,-2.237886116,-1.067281226
0.217034273,-0.687051449,-0.774726037,-1.003819718,0.328130746
0.111183718,-0.350242282,-1.387909144,-1.770864536,-0.70509042
0.499253549,1.121061731,-0.376020506,0.061852435,-1.620301081
0.122888383,1.072721192,-0.042233127,0.28386213,-0.588035393
-0.630202805,-0.432005244,0.516157037,0.55916905,-0.107909184
-0.365778068,0.043337438,2.612034425,2.225116584,2.019583777
-0.839019657,1.369161804,2.890455168,2.249780115,0.040610758
-0.138080602,-0.414933174,0.286048311,0.340207868,1.101492878
-0.35397272,0.15272635,1.427251454,1.538438385,1.140242724
-0.392457096,-0.442956259,-1.066916682,-1.115788033,-0.537170399
1.094010789,1.403954887,1.361923705,1.444214535,2.526666778
-0.482914163,-0.521780237,-0.244830555,-0.334361574,-0.867651624
-0.198203052,0.74827062,0.941592489,0.45571037,1.07826321
0.253501262,-0.89577053,-0.672877498,-1.274908762,-0.070908502
0.513498785,-0.507401678,-0.250664499,0.132971804,-0.489459247
-0.286818995,-0.54786439,-0.630814802,-0.509262297,0.036265385
-0.46198311,0.096927409,-0.614821586,-0.677522038,-0.340649787
2.23136091,-0.003497204,3.218614363,2.799030399,6.151273826
0.875162318,0.83317648,0.851533069,0.66218376,1.745553208
-0.218493106,-0.789731091,-0.9737971,-0.35090238,-1.610969025
,,,,
0.536130417,1.150181672,0.518928315,0.403900183,0.812869423
1.003968966,2.603862757,2.717175083,2.607553264,2.543386715
0.297848483,1.111861525,1.523655467,1.556996368,0.431814813
0.701443573,0.203040437,-0.012032882,0.084968175,-0.54684322
0.000617758,-0.222663613,1.432883112,1.08564336,0.251307595
-1.248414905,0.18461388,-0.775184429,-3.52686539,-0.833242402
-0.061776954,1.453356778,1.27113093,0.98187785,1.326190116
-0.124300162,-1.720163273,-0.576701494,-1.708811498,-1.959389242
-0.123063654,-0.174730121,-0.734499041,-0.668729073,-0.632898113
-0.086635475,0.362794623,0.197917989,0.415155414,0.248662805
,,,,
,,,,
-0.041444519,0.11019556,-0.031339188,0.005580436,-0.005341078
0.090386505,-0.927537052,0.584577082,0.895837738,0.605260543
-0.058597375,0.525974759,0.846417234,1.440801416,1.674873395
0.187673586,1.451711563,0.450727853,0.243806448,0.159371749
0.061424957,-0.497770852,3.683135101,3.395939579,2.32692489
0.452463706,0.146099692,-0.269389525,-0.315925302,-0.96717044
-0.489098414,-1.824643729,0.966862245,0.366365411,-0.959389242
0.030117796,-0.352447548,0.312047405,0.183594936,0.570437659
-0.407121175,-1.253892961,0.254991886,0.704196131,-0.798725318
0.229470848,-0.753337591,-0.53838896,-0.532216955,-0.453369495
0.246897297,-0.711404322,0.090590301,0.183762038,0.230977436
0.077597053,-1.160353258,-0.671106673,-0.622362888,-0.157870511
-0.738872322,-2.40960623,-0.992886478,-1.491558066,0.158406574
-0.159193661,-0.223603789,-0.225339813,-0.490782489,-1.473284847
-0.032365492,0.459382657,-1.272957275,-1.173571945,-0.031925968
0.196678958,1.314412861,-0.281766894,-0.141877089,0.670478441
0.005819447,0.045503332,-0.945316859,-1.178455739,0.234765025
0.405015197,0.245843747,3.994894346,4.723183717,3.218674233
0.173644518,1.32519048,4.400669897,5.445766016,3.389993534
0.717075547,2.467900521,2.108255479,2.576697143,1.479294931
0.733972271,0.512520076,1.142248142,0.561319577,1.027822929
0.323123655,0.569343344,2.339201349,2.664372687,1.226276259
0.150879425,0.93748739,1.36262814,2.279364423,0.870012579
0.501109825,-0.700145415,1.768875243,2.502224753,1.507269157
0.229622994,-0.605160657,0.845181877,1.455937265,-0.065820501
0.455476656,0.163439318,0.797167652,1.145802247,2.69174784
-0.358271852,-1.058913137,0.140883727,0.5831742,0.925400362
-0.256842512,-0.326975198,0.085730292,0.053505598,-0.576123595
-0.73145299,-1.314351453,-0.50934641,-0.443154058,-0.583477751
-1.437108999,-2.86963347,-0.499662965,-0.143035419,-0.772011598
1.177841326,-0.824643729,2.930802125,3.181738237,3.416935492
0.083366953,-0.444874909,-0.7535171,-0.513345878,-0.615178132
-0.915604557,3.735129417,2.824288127,2.618927392,2.028447881
0.896960694,0.814427758,0.734630614,1.011854282,1.901702066
2.568561404,0.279836727,0.197063648,-0.507787331,0.10913903
0.434909443,-0.211920526,1.546271744,2.076408896,1.175037778
0.158858797,0.550470201,1.47718657,2.555566002,2.534833633
-0.231619354,-0.69518405,2.376640362,1.465707749,1.925061617
-0.944644982,-3.40960623,-0.407757576,-0.664026484,-0.222423648
0.006163379,-0.695853508,-0.191605229,-0.000137118,0.911122691
0.240226186,1.778612471,2.094705449,2.202422563,0.797142664
-0.822158674,-0.73463373,-1.558872947,-1.927169855,-1.726851548
0.245210515,0.480468669,0.131859124,0.078475483,0.138323191
-0.194183984,0.375723122,0.184891687,0.415111753,0.503955538
0.080359565,0.319225008,0.033543189,-0.041429606,-0.115433058
-0.333339354,-0.460833373,0.123062719,0.244860762,-0.280641444
0.07539979,0.20742265,-0.268007627,0.318104376,-0.939131431
0.023974492,0.966253404,5.117575459,6.128896438,3.888138088
1.621952947,1.581465297,-1.005377369,1.022250197,0.937914572
-0.549618496,-1.626545808,1.624357844,1.991750163,1.447134151
0.542740537,-0.497153944,-1.195650257,-0.963753001,-1.59611704
-0.747860783,-0.692934512,-0.176277032,0.71269636,-0.795348481
0.083904418,-0.328271716,-0.429276731,0.137245864,-0.791796542
-0.515608684,0.279145477,-0.123212017,-0.314281642,-0.419920893
-0.092535269,1.120823776,2.070183077,2.138857584,1.338819965
0.216469207,1.023467683,2.265919455,2.549528036,2.731937014
-1.091913845,-2.548142321,-0.84512467,-0.280698973,-0.146385079
0.015239969,1.142807085,1.481337687,1.347414853,-0.22020839
-0.007244093,2.018930709,3.466873538,3.490779834,1.337678109
0.043556163,1.657486168,2.381097783,2.391002124,0.627134071
0.296891314,1.350525195,2.893327339,3.165016673,1.578851222
-0.041216368,1.593761118,2.99753268,3.28363719,1.268504832
-0.421620744,-0.916944348,-0.040954414,-0.136069182,-0.049637513
-0.126593165,-0.435350643,-0.741519349,-0.96457756,-0.240159719
-1.208876635,0.122455399,0.530087425,1.151553816,-0.362653333
1.5042326,2.690728734,-0.415384478,0.532551874,-1.221576638
-0.021984011,0.303392242,-0.093953829,-0.413618929,0.297332267
0.207493398,-0.172770668,-0.524352393,-0.851790964,-0.285485881
-0.243916938,1.371865907,0.941650403,0.877070321,-0.572095096
-0.270825606,-0.194863398,0.806460375,-0.024904173,-0.037838377
0.301034567,0.975913564,0.837204718,0.806886595,-0.080241568
-0.164292961,1.134681771,0.312797601,0.304720927,0.0777491
0.197517565,0.316567978,0.573121603,0.592202815,0.279943801
0.233790481,0.007441932,1.568527073,1.45329239,-0.281317337
-0.325042851,0.194023781,0.183021314,1.279334506,0.435784257
-0.14430376,0.002270574,0.844472727,0.685554732,0.186849424
0.496215269,-0.366636761,-0.51434028,0.331112826,-0.63580324
-0.159258179,-0.479298522,-0.120993025,-0.593875802,-0.137979272
0.54081604,0.606374306,0.213173788,-0.102088278,0.667980017
0.394118142,1.021663331,2.223734603,3.153722113,1.701957234
-0.169076829,-0.438718666,-0.778219317,-0.595422598,-0.999411167
0.104789947,-0.305877148,-0.572416971,-0.722339458,-1.06266587
-0.249363796,0.694406051,-0.324510305,-0.429858103,-0.588545803
0.134238369,0.436970632,0.352721898,-0.081145931,0.41003045
-0.109179133,-0.316169431,-0.497509086,-0.827138542,-0.090936121
0.160592383,-0.431442204,-0.297891757,-0.318071025,-0.352396125
0.643355681,1.500994541,5.003383477,6.671194705,3.917581793
-0.410404594,1.235380028,1.156642247,1.031570889,0.748550222
0.036873081,0.206604328,-0.261586426,-0.814519587,0.50098934
0.401829325,-0.609048937,-0.59639101,0.097993046,-0.281963826
0.141988559,0.01343884,0.167755914,0.341701971,-0.996545625
-0.536146557,-1.011361969,-0.135214425,-0.954109545,-3.76626022
0.186198492,0.228542106,1.85685488,1.898717283,-0.374426742
0.251841907,-1.517850832,-1.074207797,-1.032039647,-2.053969842
-0.416944227,-4.40960623,-0.824641466,-1.144040191,-1.442114502
-0.050518546,0.534755413,0.293146844,0.578358911,0.172546515
-0.152085685,-0.193369813,-0.021415978,-0.38304625,-0.221116578
-0.086964418,-0.120573879,1.138734949,-0.117840885,0.410996591
-0.207538132,-0.733302137,0.173561844,-0.868274186,-0.543753514
-0.103972508,-1.312574352,-1.440050828,-1.230534521,-0.245917432
-0.122209207,-0.458063068,0.060325735,0.29960587,0.082740387
-0.013208174,-0.821551255,-0.000572441,-0.556567065,-0.778808825
0.387933268,0.231798513,-0.090364502,-0.151413196,-0.070060671
-0.324659015,1.776616327,0.205738514,0.488514414,0.154532814
0.177841326,0.539988736,1.008261007,2.402534123,1.040610758
0.634210888,1.00330109,0.891421167,-0.246278258,1.628218483
0.159941274,0.237172624,-0.273986096,-0.261104622,-0.438311181
0.243430046,-0.539082966,1.775392215,2.123649688,1.241008958
0.091421523,-1.629215126,0.583854164,0.327524293,0.312797726
-0.939910751,0.029354037,2.364037943,1.500601791,1.477009097
0.40661412,-0.405484402,-0.515754919,0.077923431,-0.957590847
-0.635500787,-0.046176606,0.253624496,1.864158926,-0.353072315
0.134705149,-0.214110126,0.510437664,1.255140684,0.395156758
0.035612738,-1.934775791,-0.702985277,-0.682857957,-0.021591114
0.256081134,-1.032014218,-0.204494761,-0.233610305,-0.244224994
2.003838906,3.65087218,3.236536179,3.435753655,3.901867068
0.206501632,-0.094828242,-1.009896878,-1.421267378,-0.386798491
-0.129600306,-0.284345333,-0.681006461,-0.397434137,-0.71607779
-0.371899518,0.581465297,0.551824746,0.898717283,0.172939918
-0.032949433,-0.798927843,-0.491146641,-0.464515532,0.800026823
-0.453285401,-0.861046292,-0.496707158,-0.026274148,0.889850089
-0.0419681,0.831142139,0.939572709,0.611825899,0.749065499
-0.326869081,-0.896092188,-0.662023712,-0.563726585,-1.306009935
0.172674288,-1.261920223,-0.683894755,-1.184914763,-0.562525329
0.012501144,0.450987738,-0.846501089,-0.922699207,-0.024431963
0.208802088,0.693710875,-0.68623892,-0.717116563,-0.495969076
0.48033133,1.142153983,0.247084586,0.136256774,0.359044022
0.430661109,0.78930048,0.668597973,1.709518087,0.864678634
0.552476777,0.273523754,-1.47966813,-0.807687847,-0.262888891
-0.822158674,-1.305125774,0.451423698,1.055191583,1.685889282
0.07107409,0.026538043,-0.140152054,-0.10090571,-0.254214511
-0.194127451,0.460224179,0.842467368,0.966540334,1.144940927
-0.415527034,-1.156582248,-0.04822516,1.05869653,0.571125474
-0.068604004,-0.531294569,-0.577225294,-0.700624604,-0.294630896
-0.237196173,-0.305125774,-1.977640375,-1.984222766,-0.497340856
-0.223001914,-0.552192415,-0.180908269,0.040043519,-0.732411084
0.695072983,1.555137301,0.613449275,1.343870493,1.130042842
0.084731922,2.094935579,1.876824481,2.513342665,1.554322594
0.904713996,0.719853449,0.315285654,0.551092362,-3.280639769
-0.125939422,1.06238561,0.777531517,1.294576023,0.069785171
-0.118657658,0.542335309,1.129721664,1.840388464,1.306859241
0.252423151,-0.533655857,1.055747036,2.097270683,1.646098201
0.026625496,-0.76606143,0.351038845,1.198330143,1.364416767
-0.129082787,-0.202346502,0.483222404,1.211660468,1.374252517
0.097619079,-0.163461375,0.060041264,0.382737504,0.923038472
-0.057404175,0.732260488,2.601095972,2.845498097,1.360916427
-0.455082875,-0.154633811,0.32166908,0.429726505,-0.081239095
-0.134671416,-1.101990336,-0.330168352,0.787365131,0.625573258
-0.137528355,-0.285043358,-0.263387353,-0.478411168,-0.059170403
-1.856080029,0.830806248,3.164517992,2.762972737,1.040610758
-1.08519308,-2.40960623,-0.943024748,-0.465488299,-1.074345282
0.109286051,-0.190169455,-0.045833102,0.58186883,-0.352920003
1.177841326,3.686480906,6.456607343,5.682923912,4.210535759
-0.197135713,1.766832579,2.056899237,1.224337363,0.59936163
-1.305352186,-1.363899377,0.179237539,0.703759409,-0.679039371
-2.314306266,-1.267366186,1.053437549,0.904419032,-0.257777169
-2.937635891,-0.547705376,1.325463682,1.341657923,-1.07486646
0.378693742,0.138940158,-1.477356645,-0.419804706,-1.85684859
0.043996956,0.948385457,0.626166096,0.970530894,0.699090026
-0.252358992,1.851412275,0.79803264,0.807164915,0.875698109
-0.493540978,-1.037778542,1.621348699,0.762972737,-0.959389242
-1.08519308,-2.305125774,0.669831648,-0.37781449,0.964615252
-0.890870215,-1.877966322,0.028648628,0.269292317,-0.619970861
0.219758352,0.278416494,0.026593277,0.311185907,-0.526617542
-0.23468707,-0.409076015,-0.774609438,-0.352752736,-0.733066368
0.766724924,2.422799103,2.222968094,2.212820828,1.610072398
0.05663677,0.022423918,0.10571103,-0.353977435,0.03108676
0.218574322,-0.52351936,-0.292961707,-0.632693309,-0.177630077
0.228759651,-0.136207815,-0.233730506,-0.735826738,-0.346895922
0.006284747,-0.666651425,0.028745568,-0.144810345,-0.123577343
0.455213587,1.701917687,2.762536632,2.992603134,1.635121737
0.07350425,0.468239588,-0.229006602,-0.08609309,-0.572745324
-0.180234612,1.961192777,1.002688627,2.045926803,1.233001608
-0.490632678,1.818102696,0.886299484,1.461591212,1.17198967
0.138511928,0.541790909,1.402962379,1.327245892,1.006669084
-0.252782502,0.252861321,-0.548209128,-0.577363717,-0.621691144
-0.326479608,0.073666689,-0.141108687,-0.212568006,-0.210244879
0.167748401,0.681421375,1.412287342,3.692992289,0.963321484
0.242700298,-0.776212758,2.916335864,3.979004359,1.651071776
-0.047264168,-0.667303172,0.056229946,0.737300018,-0.411367372
-0.33290542,-0.295903814,-0.1101287,0.43580191,-0.356076626
-0.221481967,-0.344756386,0.222398977,0.611504966,-0.083544307
-0.010150962,0.450826414,1.982348968,2.584234314,1.230201863
-1.455868321,-1.764017484,0.215037217,0.080123343,-0.39041943
,,,,
-0.190598698,2.938427937,4.550415328,4.268694182,2.27937695
0.985196248,6.959962854,6.566927114,7.206602566,4.500042376
0.156950966,1.120879595,0.673236227,0.782114841,1.069947384
0.122271394,0.101518405,-0.122291831,0.068299046,0.665911941
-1.148283577,0.200521796,0.036969892,0.037959357,0.213025473
0.493048656,1.539988736,1.177204924,0.920936016,0.040610758
-0.050387101,-0.073200401,0.425736686,-0.132947724,0.169364554
-0.438498453,0.082329311,-0.160813485,0.15892926,1.319822315
0.617134419,1.00532634,0.991044149,0.658507988,1.941139517
0.5689733,1.22845121,3.372121759,2.646375901,1.678963161
0.729877065,0.172389655,-0.198649059,-0.677038005,0.382774714
0.21338168,-1.124068954,-0.368888593,-0.514389442,0.118254853
0.358898492,-0.720163273,-0.057081816,-2.037790035,-0.69981671
-0.349140726,-0.224445518,0.610236068,-0.204406567,0.829757331
0.487826222,0.027608362,-0.132168481,-0.256353552,-0.17547883
0.048847269,-0.754118505,-0.158248553,-0.590533872,-0.666200649
0.181322465,0.365566096,0.322163771,0.018535319,-0.024003592
0.079624011,0.332575146,0.69277569,0.2587993,0.39842486
0.347285591,1.395554115,1.750940547,0.912180984,1.210371376
0.179627225,0.427092404,0.565280738,-0.371035856,0.45487745
0.417905917,1.040323518,0.492566496,-0.512685916,0.459283044
-0.00684345,-0.788969548,0.669831648,1.041736177,-2.544351743
-0.938422506,-1.013131154,-0.703766554,-0.146437897,0.030355513
-0.116852812,0.604513825,1.938588009,2.282904657,0.389399112
-1.341529196,-2.146571824,0.326385297,1.345451224,-0.373862124
-0.168401374,-0.218715816,0.658324396,0.494729396,0.189157437
-0.021744189,0.673276112,0.240518346,0.19757459,-0.452395228
0.177841326,-0.622741043,-0.119679182,1.762972737,1.625573258
-0.043474625,-0.055741644,-0.604314245,-0.323325989,-0.212671287
0.013975198,0.099967189,0.645324961,0.925273263,-0.112330674
0.073739407,-0.352823368,-0.7206498,-0.668710958,-0.254073777
0.226379245,0.971007908,0.503930438,0.382863919,0.462112191
0.105330458,0.362036853,1.122368793,1.316131491,0.384010334
-0.385118887,-0.319015871,0.389614067,0.164182771,0.232621349
-0.236151031,-0.35431596,-0.133720013,-0.058103959,0.083457941
